Tipas;Dydis;Algoritmas;Laikas_us;Palyginimai;Sukeitimai
Nesurikiuoti;5000;Iterpimo;9843;6172789;6167795
Nesurikiuoti;5000;Suliejimo;842;55192;26989
Nesurikiuoti;10000;Iterpimo;40742;24855183;24845189
Nesurikiuoti;10000;Suliejimo;1556;120439;59107
Nesurikiuoti;50000;Iterpimo;991691;626593365;626543373
Nesurikiuoti;50000;Suliejimo;8877;718238;354783
Atvirksciai;5000;Iterpimo;19441;12497500;12497500
Atvirksciai;5000;Suliejimo;527;29804;29804
Atvirksciai;10000;Iterpimo;78517;49995000;49995000
Atvirksciai;10000;Suliejimo;1081;64608;64608
Atvirksciai;50000;Iterpimo;1970866;1249975000;1249975000
Atvirksciai;50000;Suliejimo;5747;382512;382512
Surikiuoti;5000;Iterpimo;12;4999;0
Surikiuoti;5000;Suliejimo;529;32004;0
Surikiuoti;10000;Iterpimo;19;9999;0
Surikiuoti;10000;Suliejimo;1065;69008;0
Surikiuoti;50000;Iterpimo;101;49999;0
Surikiuoti;50000;Suliejimo;5704;401952;0
